,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
137,BancoAzteca,2020-10-17 06:00:49,MazatlanFC QuirinoOC BancoAzteca RicardoBSalinas Pero no de esa forma,Twitter for Android,0,0,,,,,2009-11-07 15:05:56,1982,158
138,BancoAzteca,2020-10-17 05:56:08,EdgarBejarano12 QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Mazatlán en números rojos y con gente asistiendo a los estadios (fútbol y baseball) Y los trabajadores de la salud partiendo se el alma por atender a toda la ola de contagios por estos eventos,Twitter for Android,0,3,,,,,2009-11-07 15:05:56,1982,158
140,BancoAzteca,2020-10-17 05:29:57,"DuranAdurann75 EdgarBejarano12 MazatlanFC BancoAzteca RicardoBSalinas Ps no vayas y ya compa 🤷🏽‍♂️ Deje de mamar, chico bueno y sabio",Twitter for iPhone,0,0,bueno,,,,2011-01-12 22:38:08,594,679
141,BancoAzteca,2020-10-17 05:24:27,Unete!! Que esperas!! Todo el BancoAzteca unido https://t.co/bObeO5IAlQ,Twitter for iPhone,0,1,,,,,2019-06-22 00:10:44,100,44
142,BancoAzteca,2020-10-17 04:50:18,"QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Ese joven ya tiene su historial desde la temporada pasada, el problema es que no somos estricto en hacer cumplir el protocolo de contingencia dentro de las instalaciones de los estadios. Y es cierto que mucho depende de nosotros mismos y la mejor medida es no asistir. Suerte👍",Twitter for Android,0,2,,,,,2016-06-06 23:06:02,493,41
143,BancoAzteca,2020-10-17 04:42:01,QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Tantas vidas perdidas de personal médico más jordanas agotadoras y en constante riesgo para que nuestro querido gobierno autorice eventos como abrir el estadio clubtomateros estradaferreiro QuirinoOC  vergüenza total,Twitter for Android,2,0,,,,,2011-07-19 20:30:58,400,59
144,BancoAzteca,2020-10-17 04:26:22,"RicardoBSalinas Que bueno que se encuentra muy bien, pero lo que realmente nos preocupa es cuando empezará apagar la deuda que tiene con todos los mexicanos, evitenos mandarle cobratarios con chalecos y acosadores como hace Elektra y BancoAzteca",Twitter for Android,1,0,bueno,,,,2011-06-24 17:16:54,2031,2216
146,BancoAzteca,2020-10-17 04:01:28,QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Jajajaja si como no ya con unos botes en la cabeza noc  me parece una mala que digo mala malísima idea pero pues es su responsabilidad de aquí en adelante,Twitter Web App,0,0,,,,,2019-05-20 19:33:05,122,6
147,BancoAzteca,2020-10-17 03:58:58,"QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Por qué el 24 gober,",Twitter for Android,0,0,,,,,2014-08-12 00:24:03,190,151
148,BancoAzteca,2020-10-17 03:43:55,QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Sobretodo... https://t.co/gxaaI2Rusu,Twitter for Android,0,0,,,,,2017-01-01 21:54:34,1543,267
149,BancoAzteca,2020-10-17 03:39:47,RicardoBSalinas Tiendas_Elektra BancoAzteca totalplaymx Azteca Órale a pagar!!!! Rodpac NegociosImagen ElFinanciero_Mx PedroFerriz CiroGomezL BMVMercados Vicente_Galvez beltrandelrio franciscozea RicardoAlemanMx https://t.co/uSAKqFWTqV,Twitter for Android,0,0,,,,,2011-04-23 11:59:40,632,505
