,fecha,texto,src,rt,fav
81,2020-10-17 03:18:59,"@HenrryVillar Hola Henrry, nos preocupa lo que nos comentas. Por favor, bríndanos tus datos y la información de la empresa mediante mensaje interno para ayudarte. ¡Quedamos atentos!",S1Gateway,0,0
82,2020-10-17 03:18:44,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter for Android,14,0
83,2020-10-17 03:16:57,"¿Ya vieron la nueva tarjeta de BBVA? No tiene número, ni nombre y cuenta con un CCV dinámico.",Twitter for Android,10,0
84,2020-10-17 03:16:32,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter Web App,14,43
85,2020-10-17 03:16:24,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for Android,63,0
86,2020-10-17 03:15:57,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for iPad,63,0
87,2020-10-17 03:15:37,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for iPhone,63,0
88,2020-10-17 03:14:26,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/qBqopW78MA vía @julioastillero,Twitter Web App,16,0
89,2020-10-17 03:13:39,"@bbva lanza al mercado una nueva tarjeta sin número, fecha de caducidad ni CVV enfocada al pago mediante el móvil https://t.co/1pq6OLkXUn",Twitter for iPhone,3,0
90,2020-10-17 03:12:44,"@BBVARe_mx @gaby_cam @bbva Si pues a ella si le piden disculpas por ser figura pública, pero lo que deberían de hacer es dar la opción  sus clientes de reestructurar sus deudas, el único puto banco en mexico que no está dando esas opciones",Twitter for iPhone,0,0
91,2020-10-17 03:11:45,@_sallycanela @BBVA_Mex A chinga siempre me pregunta y solo le doy saltar.,Twitter for Android,0,0
92,2020-10-17 03:11:32,"@srodriguezrey @Scotti821 @MartinSchapiro_ No es abierto al público hasta donde se, pero el BBVA hizo su tienda online propia hace poco también. No es una mala manera de fidelizar clientes y sacar intermediarios cazando en el zoológico.",Twitter Web App,0,1
93,2020-10-17 03:10:59,@SancadillaNorte Es igualito adentro del estadio BBVA.,Twitter for Android,0,0
94,2020-10-17 03:10:01,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/0TxBIOzOdX vía @julioastillero,Twitter for Android,0,0
95,2020-10-17 03:09:30,"@BBVARe_mx Hoy recibí una llamada del número BBVA haciendo referencia a un cargo no reconocido me dieron un número de folio, conocían mi nombre y los primeros 8 numeros de mi tarjeta me solicitaron los demás numeros y me negué. Después llame a la línea BBVA dijeron q era un fraud",Twitter for Android,0,0
96,2020-10-17 03:09:03,¿Cómo funcionará el ‘sandbox’ regulatorio de ‘fintech’ en España? https://t.co/ousDL2GITs,Twitter for iPad,0,0
97,2020-10-17 03:08:24,"Resiliencia, compromiso y confianza: claves de las nuevas formas de trabajo https://t.co/PjEBsehT2u",Twitter for iPad,0,0
